Model,Avg_Current_kurtosis,Avg_Current_skewness,Avg_Current_median,Avg_Current_mean,Avg_Current_standard_deviation,Avg_Current_variance,Avg_Current_minimum,Avg_Current_maximum,Avg_Voltage_kurtosis,Avg_Voltage_skewness,Avg_Voltage_median,Avg_Voltage_mean,Avg_Voltage_standard_deviation,Avg_Voltage_variance,Avg_Voltage_minimum,Avg_Voltage_maximum,Avg_Power_kurtosis,Avg_Power_skewness,Avg_Power_median,Avg_Power_standard_deviation,Avg_Power_variance,Avg_Power_minimum,Avg_Power_maximum,Avg_Power_Simpson
dense input LIST_224_224_3 reshape LIST_50176_3 recurrent gru 3 128 1 True dense 128 10 nl_activation softmax untrained Constant 10 10 Adagrad,-1.7171825065238344,0.0716638513879696,890.893,886.5107357294883,193.03320682498784,37261.81893713853,606.831,1503.2159,-1.1914977582202568,-0.3891420345570531,5.28,5.279022544060717,0.010360208177316926,0.00010733391347734449,5.242,5.312,-1.7143244466399266,0.07239933572273836,4704.0938,1012.7405435046452,1025643.4084580842,3207.7085,7912.9287,9601.510993326485
dense input LIST_224_224_3 reshape LIST_50176_3 recurrent gru 3 64 1 True dense 64 10 nl_activation softmax untrained ReduceLROnPlateau 25 4 RMSprop,18.16618403930487,2.8859114965039803,688.289,687.5040879742511,39.29338344380264,1543.9699824617035,550.043,1466.272,1.9749792501168155,-0.15275200178371565,5.28,5.280491015157829,0.002590545550361431,6.71092624849741e-06,5.246,5.302,18.155032160840435,2.889523261633299,3634.436,206.87789227876294,42798.46231370344,2908.6277,7709.6577,12537.65977106344
dense input LIST_224_224_3 reshape LIST_50176_3 recurrent gru 3 64 True recurrent gru 64 64 True recurrent gru 64 64 True dense 64 10 nl_activation softmax untrained Constant 10 10 NAdam,1.692713731844948,0.2797949527577215,787.219,765.3237182411508,74.36245279309058,5529.774385404625,488.757,1601.384,2.4226823375349693,-0.09169390156763119,5.28,5.27936673352367,0.002922523877314219,8.541145813471735e-06,5.244,5.318,1.6840373332528533,0.2797071452115418,4155.3828,391.9749366003913,153644.35092288078,2580.3562,8420.0771,53165.51984427543
dense input LIST_224_224_3 reshape LIST_50176_3 recurrent lstm 3 128 1 True dense 128 10 nl_activation softmax untrained ReduceLROnPlateau 10 10 Adamax,-1.6825116180789585,-0.08831135383911182,949.394,907.5919393799171,178.14714733275832,31736.4061027995,545.595,1495.266,-1.256969559103704,-0.1851386268548458,5.28,5.279003963863848,0.009477133757614794,8.98160642597219e-05,5.236,5.312,-1.6788697717273084,-0.08747939271923125,5006.9336,935.046977673706,874312.8504567321,2885.1062,7865.0996,10574.205157085007
dense input LIST_224_224_3 reshape LIST_50176_3 recurrent lstm 3 64 1 True dense 64 10 nl_activation softmax untrained ReduceLROnPlateau 25 4 SGD,26.153695048483694,3.8244797632068877,682.396,684.055556967633,39.7902690558261,1583.265511535032,610.815,1486.964,2.093413892003861,-0.1283460521360538,5.28,5.279266835441759,0.0025102174558864227,6.301191675836904e-06,5.244,5.3,26.174889815495067,3.82957644170506,3602.2627,209.5630390547555,43916.66733786499,3226.325,7827.3784,12359.384422916784
dense input LIST_224_224_3 reshape LIST_50176_3 recurrent lstm 3 64 1 True dense 64 10 nl_activation softmax untrained Constant 10 10 Adam,21.535812092801013,3.9486231414758826,686.316,691.0982479745961,48.22033441948564,2325.2006515270314,541.583,1360.913,1.5560721425290218,-0.05650940602454907,5.28,5.279211080090318,0.0024910940887608677,6.205549759059337e-06,5.244,5.302,21.567215959781873,3.9547262963638703,3623.2192,254.19440384690924,64614.79494708559,2862.8076,7152.9585,5541.482946382353
dense input LIST_224_224_3 reshape LIST_50176_3 recurrent lstm 3 64 True recurrent lstm 64 64 True dense 64 10 nl_activation softmax untrained Constant 10 10 NAdam,33.40787311466606,5.006542643001603,690.061,696.2598354884096,58.77102893690072,3454.0338423020216,615.714,1641.957,2.7703810300087923,-0.08411206705240719,5.28,5.280321543299156,0.002557384726955591,6.540216641665722e-06,5.248,5.318,33.49841243488333,5.015495562799748,3643.8303,310.0022801377001,96101.4136905731,3252.2014,8633.4102,11192.296453856474
dense input LIST_224_224_3 reshape LIST_50176_3 recurrent rnn 3 128 1 True dense 128 10 nl_activation softmax untrained ReduceLROnPlateau 10 10 Radam,20.33188674899305,3.516232537531955,694.003,694.4637333303194,39.24048671606132,1539.8157977133847,537.173,1283.165,1.388302983054703,0.05293143822153384,5.28,5.280342249293367,0.0026247474619964747,6.889299239256936e-06,5.25,5.304,20.31888219350469,3.5189974509260478,3664.5366,206.83742168073428,42781.71900753389,2835.199,6752.0146,4290.256859279547
dense input LIST_224_224_3 reshape LIST_50176_3 recurrent rnn 3 128 1 True dense 128 10 nl_activation softmax untrained ReduceLROnPlateau 10 10 ASGD,21.217415345885392,3.754802203390795,693.867,694.7030019011931,41.68876157925741,1737.9528420121685,614.507,1354.433,1.6500940852471233,-0.007879044442895156,5.28,5.279339653333739,0.002462387129230054,6.063350374197827e-06,5.246,5.3,21.213849544322144,3.758724197346771,3663.2217,219.7408346212517,48286.03440004429,3243.3679,7121.6084,4333.15437727214
dense input LIST_224_224_3 reshape LIST_50176_3 recurrent rnn 3 64 1 True dense 64 10 nl_activation softmax untrained ReduceLROnPlateau 10 10 Adam,15.022391309521051,2.5265691523442495,704.827,700.621171325496,43.11215464992858,1858.6578785593583,615.814,1230.181,1.7417224285997097,0.042818634005693204,5.28,5.280293006373908,0.002780663906745449,7.732091762276864e-06,5.25,5.302,14.995877710626871,2.5291898195750018,3721.0537,227.00755029877718,51532.42789265185,3250.2664,6485.5142,3668.062229507255
dense input LIST_224_224_3 reshape LIST_50176_3 recurrent rnn 3 64 True recurrent rnn 64 64 True dense 64 10 nl_activation softmax untrained Constant 10 10 Adam,23.385251364957583,3.495807630415762,704.173,700.5096780048589,47.23617568777857,2231.2562936066834,616.706,1436.083,1.900202813475392,0.10157368925139448,5.28,5.280327269970032,0.002774932606369384,7.700250969891981e-06,5.242,5.308,23.438790921331154,3.503939319596704,3717.6799,248.87501373038646,61938.772459300046,3256.2078,7548.0522,7345.7184859537965
